Date,Open,High,Low,Close,Volume,Adj Close
2004-01-06,1115.13,1139.56,1115.13,1134.27,9825000,1134.27
2004-01-05,1073.68,1121.6,1073.68,1115.13,5960600,1115.13
2004-01-02,1062.11,1077.83,1062.1,1073.68,1660400,1073.68
2003-12-31,1068.11,1069.38,1061.18,1062.39,1009200,1062.39
2003-12-30,1076.23,1082.26,1068.11,1068.11,31770200,1068.11
2003-12-29,1094.15,1096.24,1075.64,1076.23,1046400,1076.23
2003-12-26,1083.84,1123.41,1083.84,1094.16,2484600,1094.16
2003-12-24,1082.2,1087.38,1078.36,1083.85,1147800,1083.85
2003-12-23,1050.77,1081.59,1050.77,1078.36,3621200,1078.36
2003-12-22,1052.21,1053.79,1040.54,1050.77,1622200,1050.77
2003-12-19,1030.48,1057.6,1024.86,1052.22,4309800,1052.22
2003-12-18,1040.34,1046.95,1028.64,1030.48,24589800,1030.48
2003-12-17,1076.11,1084.82,1037.66,1040.34,5353000,1040.34
2003-12-16,1106.01,1108.4,1072.71,1076.12,6493000,1076.12
2003-12-15,1125.86,1127.68,1103.54,1106.02,2790600,1106.02
2003-12-12,1120.01,1130.42,1114.09,1125.87,2962600,1125.87
2003-12-11,1150.39,1150.4,1119.35,1120.02,4890800,1120.02
2003-12-10,1151.88,1153.01,1148.05,1150.4,4015400,1150.4
2003-12-09,1142.93,1152.04,1142.93,1151.88,2253800,1151.88
2003-12-05,1111.54,1149.69,1111.54,1142.94,5182600,1142.94
2003-12-04,1138.93,1139.68,1101.51,1111.55,6394000,1111.55
2003-12-03,1166.61,1170.32,1137.28,1138.94,3871800,1138.94
2003-12-02,1172.52,1181.4,1164.03,1166.61,3535000,1166.61
2003-12-01,1206.33,1207.21,1168.18,1172.53,7558600,1172.53
2003-11-28,1192.34,1214.02,1192.34,1206.33,4328200,1206.33
2003-11-27,1184.2,1207.24,1184.2,1192.34,3425400,1192.34
2003-11-25,1213.04,1213.04,1180.39,1184.21,5630400,1184.21
2003-11-24,1241.29,1241.74,1213.04,1213.04,4578400,1213.04
2003-11-21,1234.71,1250.58,1234.66,1241.29,4241800,1241.29
2003-11-20,1257.31,1260.65,1227.73,1234.71,7242000,1234.71
2003-11-19,1186.71,1262.12,1186.71,1257.31,15958200,1257.31
2003-11-18,1209.39,1225.61,1180.65,1186.71,12263800,1186.71
2003-11-17,1169.88,1213.74,1169.66,1209.39,7125000,1209.39
2003-11-14,1255.55,1255.95,1163.39,1169.9,19716400,1169.9
2003-11-13,1221.09,1261.28,1221.09,1255.55,15040800,1255.55
2003-11-12,1184.71,1228.88,1184.71,1221.09,9996200,1221.09
2003-11-11,1217.36,1218.23,1178.78,1184.72,17735600,1184.72
2003-11-10,1298.49,1299.18,1215.32,1217.37,13575200,1217.37
2003-11-07,1156.13,1302.09,1156.13,1298.49,34100000,1298.49
2003-11-06,1161.38,1193.14,1135.15,1156.13,19394200,1156.13
2003-11-05,1334.53,1334.53,1127.98,1161.29,1200,1161.29
2003-11-04,1405.09,1407.14,1326.87,1334.54,27847800,1334.54
2003-11-03,1416.37,1416.37,1398.39,1405.09,433331600,1405.09
2003-10-31,1417.11,1425.5,1413.17,1416.37,506067200,1416.37
2003-10-30,1405.65,1423.96,1401.98,1417.11,13387600,1417.11
2003-10-29,1417.52,1422.22,1402.94,1405.65,9308600,1405.65
2003-10-28,1421.35,1428.69,1415.72,1417.52,16347000,1417.52
2003-10-27,1423.51,1438.31,1418.56,1421.35,648888400,1421.35
2003-10-23,1392.58,1430.47,1392.58,1423.52,57524600,1423.52
2003-10-22,1392.41,1399.17,1387.24,1392.58,16375800,1392.58
2003-10-21,1388.2,1396.15,1385.64,1392.41,24955000,1392.41
2003-10-20,1390.04,1406.06,1385.88,1388.21,45059000,1388.21
2003-10-17,1386.81,1410.3,1386.21,1390.04,20551000,1390.04
2003-10-16,1370.7,1392.85,1369.91,1386.81,23348000,1386.81
2003-10-15,1355.45,1383.39,1355.45,1370.71,15824200,1370.71
2003-10-14,1343.92,1357.41,1338.71,1355.46,13872400,1355.46
2003-10-13,1357.78,1363.59,1339.24,1343.92,13532400,1343.92
2003-10-10,1353.21,1361.81,1346.88,1357.79,13771000,1357.79
2003-10-08,1353.09,1363.21,1351.54,1353.21,22652400,1353.21
2003-10-07,1354.83,1371.09,1347.9,1353.09,34254000,1353.09
2003-10-06,1326.44,1358.97,1326.44,1354.84,40355200,1354.84
2003-10-03,1300.36,1332.15,1300.36,1326.44,36348600,1326.44
2003-10-02,1297.17,1308.79,1291.58,1300.37,25483000,1300.37
2003-10-01,1292.41,1304.83,1292.41,1297.17,24638800,1297.17
2003-09-30,1291.93,1292.42,1275.77,1292.42,21581400,1292.42
2003-09-29,1275.75,1294.64,1275.75,1291.94,13884800,1291.94
2003-09-26,1274.15,1283.29,1262.48,1275.76,17875000,1275.76
2003-09-25,1281.38,1295.79,1270.92,1274.15,23537400,1274.15
2003-09-24,1254.43,1285.42,1254.43,1281.38,27983800,1281.38
2003-09-23,1252.01,1264.1,1244.43,1254.44,38257800,1254.44
2003-09-22,1212.52,1264.44,1212.52,1252.01,21496200,1252.01
2003-09-19,1167.66,1216.33,1167.63,1212.52,155323200,1212.52
2003-09-18,1161.2,1173.27,1161.18,1167.67,12362800,1167.67
2003-09-17,1143.06,1166.98,1143.06,1161.2,12029400,1161.2
2003-09-16,1140.43,1146.2,1135.81,1143.06,7093400,1143.06
2003-09-15,1142.35,1145.32,1139.58,1140.43,7574600,1140.43
2003-09-12,1140.12,1148.24,1140.12,1142.35,17276800,1142.35
2003-09-11,1127.59,1141.21,1127.07,1140.12,19762000,1140.12
2003-09-09,1119.55,1130.77,1119.55,1127.59,14040000,1127.59
2003-09-08,1116.58,1122.7,1116.58,1119.56,7984000,1119.56
2003-09-05,1117.85,1128.28,1114.58,1116.58,18134000,1116.58
2003-09-04,1111.39,1122.16,1111.39,1117.85,15033800,1117.85
2003-09-03,1100.15,1122.74,1100.12,1111.39,11567800,1111.39
2003-09-02,1091.86,1101.2,1091.75,1100.16,8032000,1100.16
2003-09-01,1082.57,1094.66,1082.45,1091.86,12816600,1091.86
2003-08-29,1081.09,1087.05,1080.53,1082.57,5455800,1082.57
2003-08-28,1077.63,1082.83,1076.83,1081.09,7494000,1081.09
2003-08-27,1080.79,1082.38,1076.06,1077.63,7779000,1077.63
2003-08-26,1085.69,1085.9,1079.48,1080.79,6235400,1080.79
2003-08-25,1088.05,1088.94,1083.63,1085.7,8895000,1085.7
2003-08-22,1091.37,1093.65,1087.12,1088.06,6231200,1088.06
2003-08-21,1085.8,1093.3,1085.8,1091.37,4363400,1091.37
2003-08-20,1090.07,1090.07,1080.14,1085.81,6747800,1085.81
2003-08-19,1090.06,1090.99,1082.41,1085.62,6849600,1085.62
2003-08-18,1080.84,1092,1080.84,1090.07,13501400,1090.07
2003-08-15,1071.89,1082.08,1071.89,1080.84,21281000,1080.84
2003-08-14,1064.67,1075.25,1064.67,1071.89,12631000,1071.89
2003-08-13,1053.23,1066.18,1053.18,1064.68,6380400,1064.68
2003-08-12,1052.05,1054.77,1048.91,1053.24,3062800,1053.24
